"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","DATA_FEED","NUM_LIKENESS"
2,2020,10,2020,"TUR",16
2,2020,2,2020,"VDM",1
2,2020,2,2020,"VCT",1
2,2020,2,2020,"PI_KO",2
3,2020,3,2020,"KR",300
3,2020,3,2020,"BLACKSEA",7
3,2020,3,2020,"CS",901
3,2020,9,2020,"IR",3
3,2020,9,2020,"NK",3
3,2020,5,2020,"TUR",12
3,2020,8,2020,"TUR",7
3,2020,3,2020,"PH",22
3,2020,9,2020,"PI_GA",4
3,2020,3,2020,"GEO",1
4,2020,4,2020,"BV",1081
4,2020,4,2020,"PI_AM",99
4,2020,4,2020,"PI_SK",19597
4,2020,4,2020,"IB",47
4,2020,4,2020,"PLW",5
4,2020,4,2020,"COK",15
4,2020,5,2020,"TU",491
4,2020,11,2020,"NK",8
4,2020,4,2020,"PI_JS",1
4,2020,4,2020,"VDM",1
4,2020,7,2020,"VN",10
4,2020,5,2020,"NG",10
4,2020,5,2020,"PI_SK",6904
4,2020,5,2020,"LBR",3
4,2020,5,2020,"CS",205
4,2020,6,2020,"NG",33
4,2020,4,2020,"ML",2
4,2020,5,2020,"TGO",2
4,2020,4,2020,"CS",52
5,2020,6,2020,"LBR",20
5,2020,8,2020,"PI_AM",12
5,2020,5,2020,"KP",2
5,2020,9,2020,"MHL",25
5,2020,8,2020,"KR",30
6,2020,9,2020,"BV",14
6,2020,6,2020,"NIS",1
6,2020,6,2020,"PI_ST",250
6,2020,6,2020,"PI_SC",6
6,2020,6,2020,"GHOST_VESSEL",1
7,2020,7,2020,"AMSA",2
7,2020,7,2020,"IOM",27
7,2020,7,2020,"PI_BR",5
7,2020,12,2020,"CS",217
7,2020,7,2020,"PH",3
7,2020,8,2020,"PI_JS",8
7,2020,7,2020,"PI_ST",48
7,2020,10,2020,"PI_GA",6
7,2020,10,2020,"NG",1
7,2020,8,2020,"KR",5
8,2020,10,2020,"BV",16
8,2020,9,2020,"VN",15
8,2020,8,2020,"PI_AM",7
8,2020,9,2020,"NK",14
8,2020,10,2020,"PH",21
8,2020,9,2020,"MHL",26
8,2020,8,2020,"VDM",1
8,2020,10,2020,"RINA",20
8,2020,12,2020,"RINA",4
9,2020,10,2020,"AMSA",1
9,2020,10,2020,"LUX",1
9,2020,9,2020,"CS",1084
9,2020,10,2020,"DB",46
10,2020,12,2020,"TUR",25
10,2020,10,2020,"NK",18
10,2020,12,2020,"PI_BM",26
10,2020,11,2020,"KI",112
10,2020,10,2020,"RINA",36
11,2020,11,2020,"KI",24
11,2020,12,2020,"TGO",1
11,2020,12,2020,"DB",12
11,2020,12,2020,"NK",2
11,2020,11,2020,"PI_SM",1
11,2020,11,2020,"PI_BR",30
11,2020,12,2020,"PI_SK",20
12,2020,12,2020,"LBR",2
12,2020,1,2021,"GEO",1
1,2021,1,2021,"PI_WE",10
1,2021,1,2021,"AMSA",2
1,2021,1,2021,"MLT",4
1,2021,2,2021,"PI_SM",8
2,2021,2,2021,"TU",1
1,2020,1,2020,"PI_CA",5
1,2020,1,2020,"PI_WE",64
1,2020,1,2020,"LBR",45
1,2020,2,2020,"NIS",6
1,2020,3,2020,"VCT",2
1,2020,3,2020,"BV",93
1,2020,1,2020,"CYP",4
1,2020,3,2020,"PH",10
1,2020,4,2020,"GEO",4
1,2020,8,2020,"PI_WE",14
1,2020,1,2020,"VN",60
1,2020,1,2020,"VZ",1
1,2020,1,2020,"PI_KO",1
1,2020,1,2020,"OV",1
2,2020,2,2020,"HRV",3
2,2020,2,2020,"TGO",8
2,2020,3,2020,"PI_WE",32
2,2020,3,2020,"NK",27
2,2020,4,2020,"VN",1
2,2020,2,2020,"GHOST_VESSEL",1
2,2020,2,2020,"VZ",2
2,2020,3,2020,"COK",2
3,2020,3,2020,"PI_ST",233
3,2020,3,2020,"COK",13
3,2020,3,2020,"NIU",1
3,2020,3,2020,"PI_AM",160
3,2020,3,2020,"CAN",6
3,2020,3,2020,"HRV",4
3,2020,5,2020,"KR",39
3,2020,3,2020,"NIS",11
3,2020,9,2020,"PI_ST",3
3,2020,6,2020,"PI_ST",3
3,2020,3,2020,"VZ",2
3,2020,3,2020,"PAN",1
4,2020,4,2020,"IR",25
4,2020,4,2020,"PI_ST",45
4,2020,4,2020,"KI",308
4,2020,4,2020,"NB",22
4,2020,4,2020,"NIU",1
4,2020,4,2020,"PI_NE",5
4,2020,4,2020,"TGO",9
4,2020,4,2020,"PH",12
4,2020,4,2020,"PI_GA",101
4,2020,8,2020,"VN",5
4,2020,5,2020,"PI_ST",24
4,2020,4,2020,"AMSA",5
4,2020,10,2020,"PI_GA",12
4,2020,4,2020,"DMA",1
4,2020,6,2020,"MLT",1
5,2020,5,2020,"KI",120
5,2020,5,2020,"PI_AM",54
5,2020,5,2020,"KNA",1
5,2020,5,2020,"CUW",1
5,2020,5,2020,"PAN",2
5,2020,5,2020,"LBR",12
5,2020,6,2020,"CS",5534
5,2020,9,2020,"NG",1
5,2020,5,2020,"MHL",27
5,2020,5,2020,"PI_JS",10
5,2020,5,2020,"CS",1871
5,2020,12,2020,"CS",69
6,2020,6,2020,"PI_AM",14
6,2020,6,2020,"BV",103
6,2020,8,2020,"BV",18
6,2020,8,2020,"TUR",3
6,2020,9,2020,"PI_WE",4
6,2020,9,2020,"PI_GA",10
6,2020,8,2020,"NG",5
6,2020,7,2020,"CS",172
6,2020,7,2020,"BV",9
7,2020,7,2020,"IR",14
7,2020,9,2020,"BV",45
7,2020,12,2020,"VN",7
7,2020,9,2020,"CS",820
7,2020,9,2020,"UKR",31
7,2020,7,2020,"MLT",1
7,2020,12,2020,"AMSA",1
8,2020,8,2020,"KR",20
8,2020,11,2020,"AMSA",1
9,2020,12,2020,"PI_AM",6
9,2020,10,2020,"KI",11
9,2020,11,2020,"TGO",2
10,2020,10,2020,"BV",28
10,2020,11,2020,"TUR",20
10,2020,12,2020,"PI_WE",5
11,2020,11,2020,"PI_WE",4
11,2020,12,2020,"PI_JS",6
11,2020,12,2020,"PI_ST",190
12,2020,12,2020,"NK",9
12,2020,12,2020,"MB",1
