"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","DATA_FEED","NUM_IGNORED"
3,2020,8,2020,"CYP",3
3,2020,6,2020,"PI_SK",45
4,2020,4,2020,"PI_SM",187
4,2020,4,2020,"PI_WE",115
4,2020,4,2020,"PI_LS",6
4,2020,10,2020,"KIR",1
4,2020,4,2020,"LBR",26
4,2020,4,2020,"BLACKSEA",25
4,2020,6,2020,"PI_AM",32
4,2020,4,2020,"PAN",2
4,2020,4,2020,"VUT",4
4,2020,4,2020,"GRC",9
4,2020,9,2020,"BV",167
4,2020,4,2020,"MLT",3
4,2020,9,2020,"DB",9
4,2020,5,2020,"MHL",47
4,2020,5,2020,"IR",12
4,2020,5,2020,"PI_GA",131
4,2020,11,2020,"VN",8
4,2020,8,2020,"PI_ST",164
4,2020,5,2020,"LR",12
4,2020,8,2020,"PI_GA",278
4,2020,11,2020,"PI_GA",6
4,2020,5,2020,"KNA",1
4,2020,9,2020,"RINA",5
4,2020,4,2020,"RS",2
4,2020,6,2020,"PI_SM",62
4,2020,6,2020,"LUX",2
4,2020,5,2020,"HRV",1
4,2020,5,2020,"KP",64
5,2020,5,2020,"GRC",4
5,2020,5,2020,"PI_KO",2
5,2020,9,2020,"BV",58
5,2020,8,2020,"BV",29
5,2020,5,2020,"PI_SK",875
5,2020,5,2020,"PI_GA",26
5,2020,9,2020,"PI_ST",37
5,2020,8,2020,"TUR",20
5,2020,12,2020,"NG",5
5,2020,8,2020,"NG",8
5,2020,9,2020,"CS",2408
5,2020,10,2020,"NK",4
5,2020,8,2020,"MHL",19
5,2020,5,2020,"CARIBBEAN",1
5,2020,10,2020,"KR",54
5,2020,5,2020,"VUT",3
5,2020,9,2020,"IB",20
5,2020,5,2020,"PH",1
5,2020,9,2020,"PI_SM",45
5,2020,12,2020,"KR",3
6,2020,6,2020,"MB",3
6,2020,6,2020,"PI_SK",1107
6,2020,8,2020,"NB",12
6,2020,6,2020,"NB",9
6,2020,6,2020,"BLACKSEA",5
6,2020,6,2020,"RINA",264
6,2020,9,2020,"LR",6
6,2020,11,2020,"PI_WE",9
6,2020,10,2020,"PI_WE",4
6,2020,9,2020,"NG",20
6,2020,7,2020,"PI_ST",9
6,2020,9,2020,"PI_SM",15
6,2020,9,2020,"PI_SK",204
6,2020,6,2020,"CAN",1
6,2020,8,2020,"PI_SM",27
6,2020,9,2020,"CS",240
6,2020,9,2020,"RINA",15
6,2020,11,2020,"RINA",1
6,2020,7,2020,"PI_GA",77
7,2020,7,2020,"BLACKSEA",6
7,2020,7,2020,"BV",189
7,2020,9,2020,"TGO",2
7,2020,7,2020,"TUR",61
7,2020,7,2020,"KR",43
7,2020,7,2020,"PI_SK",1476
7,2020,12,2020,"BV",34
7,2020,10,2020,"KR",69
7,2020,8,2020,"TUR",8
7,2020,11,2020,"BLACKSEA",5
7,2020,7,2020,"TUV",2
7,2020,10,2020,"VN",1
7,2020,8,2020,"CYP",2
7,2020,8,2020,"CS",8
7,2020,11,2020,"UKR",5
7,2020,9,2020,"MLT",1
8,2020,10,2020,"IOM",2
8,2020,9,2020,"KI",13
8,2020,8,2020,"PI_WE",49
8,2020,10,2020,"LBR",19
8,2020,11,2020,"BLZ",4
8,2020,8,2020,"GRC",1
8,2020,8,2020,"TGO",4
8,2020,10,2020,"TUR",7
8,2020,10,2020,"PI_ST",25
8,2020,8,2020,"NK",116
8,2020,9,2020,"PH",199
8,2020,8,2020,"TUR",11
8,2020,11,2020,"PH",5
8,2020,11,2020,"KR",20
8,2020,8,2020,"NG",47
8,2020,12,2020,"PI_SK",19
8,2020,8,2020,"KNA",4
8,2020,8,2020,"RINA",15
8,2020,10,2020,"PI_SK",44
9,2020,9,2020,"PI_SK",864
9,2020,11,2020,"CS",360
9,2020,12,2020,"KR",24
9,2020,11,2020,"PI_GA",20
9,2020,11,2020,"BLACKSEA",30
9,2020,11,2020,"NG",35
9,2020,10,2020,"TUR",21
9,2020,12,2020,"NK",32
9,2020,10,2020,"PI_BM",153
9,2020,12,2020,"PI_ST",25
9,2020,12,2020,"PI_SK",78
9,2020,12,2020,"RINA",8
9,2020,10,2020,"DMA",2
9,2020,11,2020,"VDM",47
9,2020,9,2020,"TUV",1
9,2020,1,2021,"PI_GA",2
9,2020,11,2020,"FRO",6
10,2020,10,2020,"GHOST_VESSEL",1
10,2020,10,2020,"PI_SK",89
10,2020,10,2020,"PI_SM",16
10,2020,11,2020,"PI_SK",29
10,2020,11,2020,"NK",26
10,2020,10,2020,"PLW",8
10,2020,10,2020,"KI",46
10,2020,11,2020,"KR",12
10,2020,12,2020,"VN",4
10,2020,11,2020,"PI_BM",692
10,2020,12,2020,"PR",12
10,2020,12,2020,"KI",219
10,2020,12,2020,"AMSA",3
11,2020,11,2020,"PI_AM",5
11,2020,11,2020,"PH",1
11,2020,11,2020,"TUR",9
11,2020,12,2020,"PI_WE",1
11,2020,11,2020,"AMSA",1
12,2020,12,2020,"KR",24
12,2020,12,2020,"COK",3
12,2020,12,2020,"IR",9
12,2020,12,2020,"GIBSONS",2
12,2020,12,2020,"UKR",18
1,2021,1,2021,"TU",1
1,2021,1,2021,"LBR",63
1,2021,1,2021,"PI_SC",29
1,2021,1,2021,"NG",4
1,2021,1,2021,"CS",248
1,2021,1,2021,"VUT",2
1,2021,1,2021,"LR",171
1,2021,2,2021,"GIBSONS",2
1,2021,2,2021,"PI_SK",22
2,2021,2,2021,"MHL",9
2,2021,2,2021,"PI_AM",8
2,2021,2,2021,"CS",7
1,2020,3,2020,"PI_LS",1
1,2020,1,2020,"NIS",6
1,2020,1,2020,"AB",28
1,2020,1,2020,"AMSA",11
1,2020,1,2020,"PI_SM",31
1,2020,3,2020,"PI_BR",12
1,2020,1,2020,"CS",1339
1,2020,2,2020,"IOM",14
1,2020,11,2020,"LBR",14
1,2020,1,2020,"DB",32
1,2020,3,2020,"MLT",2
1,2020,9,2020,"PI_WE",3
1,2020,2,2020,"NK",12
1,2020,1,2020,"IOM",1
1,2020,3,2020,"AMSA",3
1,2020,8,2020,"FRA",2
1,2020,3,2020,"PI_ST",2
1,2020,3,2020,"VZ",1
1,2020,2,2020,"BLACKSEA",28
1,2020,8,2020,"BLACKSEA",3
1,2020,2,2020,"COK",23
1,2020,7,2020,"COK",1
