"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","DATA_FEED","NUM_LIKENESS"
10,2020,11,2020,"PI_JS",2
10,2020,12,2020,"ECU",1
10,2020,10,2020,"PR",4
10,2020,11,2020,"RINA",4
11,2020,11,2020,"DB",2
11,2020,11,2020,"PI_BM",4
11,2020,11,2020,"PI_SK",1
12,2020,12,2020,"TGO",3
12,2020,12,2020,"PI_JS",1
12,2020,12,2020,"PI_WE",2
12,2020,12,2020,"PI_ST",2
12,2020,1,2021,"CS",1
1,2021,1,2021,"PI_AM",2
1,2021,1,2021,"BV",5
1,2021,1,2021,"RINA",6
1,2021,1,2021,"TUR",1
1,2021,1,2021,"PI_ST",33
1,2021,1,2021,"PI_JS",1
1,2021,1,2021,"PI_SM",41
1,2021,2,2021,"KI",6
2,2021,2,2021,"LBR",11
1,2020,3,2020,"PI_AM",1
1,2020,3,2020,"PI_GA",13
1,2020,1,2020,"PI_GA",38
1,2020,1,2020,"ML",2
1,2020,1,2020,"TU",5
1,2020,3,2020,"GEO",9
1,2020,2,2020,"GEO",4
1,2020,2,2020,"IR",1
1,2020,1,2020,"TGO",3
1,2020,3,2020,"VUT",4
1,2020,1,2020,"LUX",2
1,2020,2,2020,"RINA",28
1,2020,1,2020,"GIBSONS",1
1,2020,3,2020,"RINA",7
2,2020,2,2020,"NK",28
2,2020,3,2020,"BLACKSEA",2
2,2020,4,2020,"PI_WE",1
2,2020,3,2020,"CS",1
2,2020,2,2020,"CAN",5
2,2020,2,2020,"DB",1
2,2020,3,2020,"AMSA",1
2,2020,4,2020,"PI_ST",7
2,2020,2,2020,"MB",1
3,2020,3,2020,"TUV",7
3,2020,3,2020,"NK",68
3,2020,3,2020,"PI_JS",11
3,2020,3,2020,"MHL",31
3,2020,11,2020,"NK",1
3,2020,7,2020,"PI_WE",1
3,2020,3,2020,"GRC",3
3,2020,9,2020,"NIS",1
3,2020,3,2020,"ATG",1
3,2020,6,2020,"NK",1
4,2020,4,2020,"PI_SM",37
4,2020,4,2020,"PI_WE",23
4,2020,4,2020,"PI_LS",6
4,2020,6,2020,"PI_AM",1
4,2020,4,2020,"PAN",2
4,2020,4,2020,"GRC",9
4,2020,9,2020,"BV",1
4,2020,4,2020,"VUT",3
4,2020,8,2020,"PI_ST",7
4,2020,4,2020,"LBR",2
4,2020,4,2020,"MLT",2
4,2020,5,2020,"PI_GA",12
4,2020,8,2020,"PI_GA",7
4,2020,4,2020,"RS",2
4,2020,4,2020,"BLACKSEA",2
4,2020,6,2020,"PI_SM",4
4,2020,6,2020,"LUX",1
4,2020,5,2020,"KP",2
5,2020,5,2020,"GRC",4
