"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","CONFLICT_STATUS","DATA_FEED","COUNT_STATUS_PER_FEED"
9,2020,9,2020,"IGNORED","KNA",1
9,2020,,,"PENDING","PI_JS",5
9,2020,12,2020,"IGNORED","PI_JS",5
9,2020,9,2020,"IGNORED","GHOST_VESSEL",1
9,2020,1,2021,"IGNORED","CS",1
9,2020,12,2020,"MANUAL UPDATE","MHL",2
9,2020,11,2020,"MANUAL UPDATE","VCT",1
9,2020,11,2020,"IGNORED","TGO",2
9,2020,11,2020,"MANUAL UPDATE","TGO",2
9,2020,1,2021,"IGNORED","VDM",1
9,2020,11,2020,"IGNORED","FRO",4
9,2020,,,"PENDING","NG",132
10,2020,10,2020,"IGNORED","GHOST_VESSEL",1
10,2020,10,2020,"IGNORED","PI_SK",15
10,2020,11,2020,"IGNORED","PI_AM",1
10,2020,10,2020,"IGNORED","MLT",4
10,2020,10,2020,"IGNORED VALUE","PI_GA",10
10,2020,,,"PENDING","MHL",14
10,2020,12,2020,"MANUAL UPDATE","TUR",1
10,2020,10,2020,"MANUAL UPDATE","NK",6
10,2020,12,2020,"MANUAL UPDATE","CS",7
10,2020,12,2020,"IGNORED","COK",1
10,2020,11,2020,"IGNORED","PI_WE",17
10,2020,12,2020,"MANUAL UPDATE","PI_WE",9
10,2020,12,2020,"IGNORED","PH",3
10,2020,10,2020,"MANUAL UPDATE","PI_JS",1
10,2020,11,2020,"IGNORED","KR",2
10,2020,11,2020,"IGNORED","LBR",5
10,2020,11,2020,"IGNORED","AMSA",5
10,2020,10,2020,"MANUAL UPDATE","PI_ST",3
10,2020,12,2020,"MANUAL UPDATE","PI_ST",9
10,2020,11,2020,"IGNORED","CS",1
10,2020,12,2020,"MANUAL UPDATE","IR",2
10,2020,12,2020,"MANUAL UPDATE","PLW",3
10,2020,12,2020,"MANUAL UPDATE","PR",6
10,2020,10,2020,"MANUAL UPDATE","RINA",4
10,2020,10,2020,"IGNORED","BLACKSEA",28
10,2020,10,2020,"IGNORED","DB",3
10,2020,10,2020,"IGNORED","BLZ",1
10,2020,12,2020,"IGNORED","KP",6
11,2020,,,"PENDING","PI_AM",18
11,2020,,,"PENDING","LBR",37
11,2020,12,2020,"MANUAL UPDATE","LBR",6
11,2020,11,2020,"IGNORED VALUE","KI",8
11,2020,11,2020,"IGNORED","NG",12
11,2020,,,"PENDING","AMSA",12
11,2020,11,2020,"IGNORED","VCT",4
11,2020,,,"PENDING","DB",5
11,2020,11,2020,"IGNORED","PI_SC",3
11,2020,11,2020,"IGNORED","PI_ST",8
11,2020,11,2020,"IGNORED","VUT",2
11,2020,11,2020,"IGNORED","PI_WE",11
11,2020,,,"PENDING","PI_JS",8
11,2020,12,2020,"MANUAL UPDATE","PI_WE",8
11,2020,2,2021,"IGNORED","NK",1
11,2020,1,2021,"MANUAL UPDATE","CS",1
11,2020,12,2020,"MANUAL UPDATE","KR",7
11,2020,11,2020,"IGNORED","PI_GA",4
11,2020,12,2020,"IGNORED","MHL",7
11,2020,1,2021,"IGNORED","PI_BM",1
11,2020,2,2021,"IGNORED","PI_BR",1
11,2020,11,2020,"IGNORED","KI",1
11,2020,1,2021,"MANUAL UPDATE","PI_SK",1
11,2020,1,2021,"MANUAL UPDATE","VCT",3
