"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","DATA_FEED","NUM_IGNORED"
7,2020,7,2020,"GRC",2
7,2020,11,2020,"BV",1
7,2020,10,2020,"CS",9
7,2020,8,2020,"CUW",1
7,2020,10,2020,"PI_JS",1
7,2020,9,2020,"KR",2
7,2020,9,2020,"PI_ST",10
7,2020,10,2020,"GIBSONS",1
7,2020,7,2020,"DB",1
7,2020,7,2020,"UKR",1
7,2020,11,2020,"VCT",1
8,2020,8,2020,"KP",3
8,2020,9,2020,"BLACKSEA",29
8,2020,10,2020,"TGO",1
8,2020,11,2020,"MLT",1
8,2020,12,2020,"PI_WE",4
8,2020,12,2020,"PH",4
8,2020,9,2020,"KR",5
8,2020,8,2020,"VN",8
8,2020,8,2020,"PLW",5
8,2020,8,2020,"IOM",2
9,2020,9,2020,"CYP",2
9,2020,10,2020,"LBR",8
9,2020,12,2020,"NB",2
9,2020,1,2021,"PI_SM",2
9,2020,9,2020,"NB",2
9,2020,12,2020,"PI_WE",7
9,2020,9,2020,"NIS",1
9,2020,11,2020,"PI_BM",27
9,2020,12,2020,"PI_BM",5
9,2020,12,2020,"PI_SC",15
9,2020,12,2020,"CS",3
9,2020,10,2020,"VDM",55
9,2020,9,2020,"VDM",7
9,2020,10,2020,"GIBSONS",1
10,2020,12,2020,"BV",11
10,2020,11,2020,"BV",7
10,2020,11,2020,"PI_AM",1
10,2020,12,2020,"NK",5
10,2020,11,2020,"MHL",1
10,2020,10,2020,"PI_JS",6
10,2020,11,2020,"PI_JS",5
10,2020,12,2020,"ECU",1
10,2020,12,2020,"IR",2
10,2020,10,2020,"PR",6
10,2020,11,2020,"RINA",5
10,2020,10,2020,"GIBSONS",5
10,2020,10,2020,"NB",1
10,2020,1,2021,"VCT",1
11,2020,12,2020,"PI_BM",6
11,2020,12,2020,"PI_SC",1
11,2020,11,2020,"PI_BM",18
11,2020,11,2020,"DB",4
11,2020,11,2020,"PI_SK",11
11,2020,2,2021,"NK",1
11,2020,11,2020,"NB",1
11,2020,12,2020,"GIBSONS",1
12,2020,12,2020,"PI_WE",30
12,2020,12,2020,"PI_ST",27
12,2020,12,2020,"PI_JS",12
12,2020,1,2021,"LBR",1
12,2020,12,2020,"TGO",8
12,2020,12,2020,"MLT",5
12,2020,12,2020,"RS",1
12,2020,12,2020,"VCT",1
12,2020,1,2021,"PI_BM",1
12,2020,12,2020,"BLZ",3
12,2020,1,2021,"CS",1
1,2021,1,2021,"PI_AM",22
1,2021,1,2021,"BV",63
1,2021,1,2021,"PI_SK",19
1,2021,1,2021,"TUR",5
1,2021,1,2021,"RINA",34
1,2021,1,2021,"PI_ST",65
1,2021,2,2021,"PI_ST",1
1,2021,1,2021,"PI_JS",20
1,2021,1,2021,"PI_SM",38
1,2021,2,2021,"KI",4
1,2021,2,2021,"MHL",1
2,2021,2,2021,"LBR",42
2,2021,2,2021,"UKR",1
1,2020,3,2020,"PI_AM",7
1,2020,9,2020,"PI_AM",1
1,2020,3,2020,"PI_GA",121
1,2020,1,2020,"PI_GA",61
1,2020,5,2020,"PI_GA",2
1,2020,1,2020,"ML",2
1,2020,1,2020,"TU",5
1,2020,2,2020,"DB",2
1,2020,7,2020,"BV",1
1,2020,3,2020,"GEO",15
1,2020,2,2020,"GEO",4
1,2020,2,2020,"IR",2
1,2020,2,2020,"PI_JS",3
1,2020,1,2020,"TGO",3
1,2020,3,2020,"VUT",6
1,2020,1,2020,"LUX",2
1,2020,3,2020,"KR",3
1,2020,2,2020,"RINA",31
1,2020,3,2020,"RINA",13
1,2020,1,2020,"GIBSONS",1
2,2020,4,2020,"PI_LS",1
2,2020,2,2020,"NK",37
2,2020,7,2020,"BV",1
2,2020,3,2020,"AMSA",6
2,2020,3,2020,"LBR",6
2,2020,12,2020,"LBR",1
2,2020,3,2020,"BLACKSEA",136
2,2020,4,2020,"PI_WE",3
2,2020,4,2020,"NK",2
2,2020,3,2020,"CS",9
2,2020,9,2020,"NIS",2
2,2020,2,2020,"CAN",5
2,2020,2,2020,"DB",1
2,2020,4,2020,"PI_ST",21
2,2020,3,2020,"PI_SM",2
2,2020,2,2020,"MB",1
3,2020,3,2020,"TUV",7
3,2020,3,2020,"NK",89
3,2020,3,2020,"PI_JS",16
3,2020,5,2020,"LBR",2
3,2020,3,2020,"MHL",37
3,2020,9,2020,"VCT",1
3,2020,5,2020,"VUT",1
3,2020,8,2020,"BLACKSEA",43
3,2020,9,2020,"BLACKSEA",18
3,2020,6,2020,"NK",4
3,2020,11,2020,"NK",1
3,2020,6,2020,"PI_JS",2
3,2020,7,2020,"PI_WE",4
3,2020,3,2020,"GRC",3
3,2020,8,2020,"CS",3
3,2020,9,2020,"NIS",1
3,2020,6,2020,"AMSA",1
3,2020,6,2020,"MLT",1
3,2020,3,2020,"ATG",1
3,2020,4,2020,"PI_SM",9
3,2020,3,2020,"IB",1
4,2020,4,2020,"PI_SM",37
4,2020,4,2020,"PI_WE",28
4,2020,4,2020,"PI_LS",6
4,2020,10,2020,"KIR",1
4,2020,4,2020,"LBR",9
4,2020,4,2020,"BLACKSEA",25
4,2020,6,2020,"PI_AM",4
4,2020,4,2020,"PAN",2
4,2020,4,2020,"VUT",4
4,2020,4,2020,"GRC",9
4,2020,9,2020,"BV",3
4,2020,4,2020,"MLT",3
4,2020,9,2020,"DB",1
4,2020,5,2020,"MHL",2
4,2020,5,2020,"IR",2
4,2020,11,2020,"VN",1
4,2020,8,2020,"PI_ST",20
4,2020,5,2020,"PI_GA",28
4,2020,8,2020,"PI_GA",54
4,2020,11,2020,"PI_GA",1
4,2020,5,2020,"KNA",1
4,2020,4,2020,"RS",2
4,2020,6,2020,"PI_SM",8
4,2020,6,2020,"LUX",1
4,2020,5,2020,"HRV",1
4,2020,5,2020,"KP",64
5,2020,5,2020,"GRC",4
5,2020,5,2020,"PI_KO",2
5,2020,9,2020,"BV",3
5,2020,8,2020,"BV",1
5,2020,5,2020,"PI_SK",32
5,2020,5,2020,"PI_GA",6
5,2020,8,2020,"TUR",2
