"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","DATA_FEED","NUM_MANUAL_UPDATE"
6,2020,9,2020,"NIS",1
6,2020,6,2020,"CS",1
6,2020,8,2020,"PI_SK",405
6,2020,10,2020,"KI",31
6,2020,9,2020,"CYP",7
6,2020,7,2020,"KR",9
7,2020,9,2020,"NG",8
7,2020,9,2020,"AMSA",4
7,2020,10,2020,"LBR",10
7,2020,11,2020,"BV",26
7,2020,9,2020,"KR",115
7,2020,10,2020,"CS",412
7,2020,10,2020,"PI_JS",6
7,2020,9,2020,"PI_ST",13
7,2020,11,2020,"MHL",25
7,2020,7,2020,"UKR",2
7,2020,11,2020,"PI_SM",8
7,2020,8,2020,"BLACKSEA",1
8,2020,10,2020,"PI_LS",4
8,2020,10,2020,"NG",7
8,2020,8,2020,"KP",1
8,2020,10,2020,"TGO",1
8,2020,12,2020,"PI_WE",12
8,2020,9,2020,"KR",36
8,2020,8,2020,"VN",1
8,2020,8,2020,"PLW",1
8,2020,11,2020,"PI_GA",1
9,2020,12,2020,"PI_WE",25
9,2020,12,2020,"CS",482
9,2020,10,2020,"LBR",14
9,2020,9,2020,"NB",1
9,2020,11,2020,"NB",2
9,2020,12,2020,"PI_BM",27
9,2020,11,2020,"PI_BM",33
9,2020,12,2020,"PI_SC",24
9,2020,12,2020,"MLT",2
9,2020,11,2020,"VCT",2
10,2020,11,2020,"BV",36
10,2020,12,2020,"BV",43
10,2020,11,2020,"PI_AM",6
10,2020,12,2020,"NK",27
10,2020,11,2020,"MHL",31
10,2020,11,2020,"PI_JS",4
10,2020,10,2020,"PI_JS",1
10,2020,12,2020,"IR",8
10,2020,10,2020,"PR",2
10,2020,11,2020,"RINA",3
10,2020,11,2020,"VUT",1
11,2020,11,2020,"PI_SK",2
11,2020,12,2020,"PI_AM",10
11,2020,12,2020,"LR",1
11,2020,12,2020,"PI_SC",10
11,2020,1,2021,"RINA",1
11,2020,12,2020,"PI_BM",29
11,2020,11,2020,"PI_BM",3
11,2020,11,2020,"VN",1
11,2020,12,2020,"GIBSONS",2
12,2020,12,2020,"TGO",2
12,2020,12,2020,"PI_JS",4
12,2020,12,2020,"PI_WE",11
12,2020,12,2020,"PI_ST",7
12,2020,1,2021,"CS",52
12,2020,1,2021,"PI_BM",4
12,2020,12,2020,"MLT",3
12,2020,1,2021,"KR",3
12,2020,1,2021,"PI_SM",3
12,2020,1,2021,"LBR",1
12,2020,12,2020,"BLZ",3
1,2021,1,2021,"PI_AM",12
1,2021,1,2021,"BV",58
1,2021,1,2021,"RINA",29
1,2021,1,2021,"PI_ST",16
1,2021,1,2021,"IOM",4
1,2021,1,2021,"TUR",2
1,2021,1,2021,"PI_SK",11
1,2021,2,2021,"MHL",23
1,2021,1,2021,"PI_JS",2
1,2021,1,2021,"PI_SM",7
2,2021,2,2021,"LBR",18
1,2020,3,2020,"PI_AM",31
1,2020,9,2020,"PI_AM",8
1,2020,1,2020,"PI_GA",14
1,2020,3,2020,"PI_GA",36
1,2020,8,2020,"NIS",12
1,2020,5,2020,"LBR",5
1,2020,7,2020,"BV",46
1,2020,2,2020,"DB",1
1,2020,10,2020,"GEO",3
1,2020,2,2020,"GEO",2
1,2020,2,2020,"IR",2
1,2020,8,2020,"VN",8
1,2020,3,2020,"KR",119
1,2020,3,2020,"RINA",22
1,2020,4,2020,"MLT",1
1,2020,12,2020,"PI_SM",10
1,2020,2,2020,"RINA",17
1,2020,3,2020,"COK",5
1,2020,8,2020,"PLW",1
2,2020,11,2020,"PI_AM",2
2,2020,2,2020,"NK",6
2,2020,3,2020,"LBR",48
2,2020,4,2020,"PI_ST",38
2,2020,4,2020,"LBR",6
2,2020,4,2020,"NK",15
2,2020,3,2020,"BLACKSEA",2
2,2020,3,2020,"AMSA",6
2,2020,4,2020,"PI_WE",6
2,2020,3,2020,"CS",6
2,2020,1,2021,"TUR",11
2,2020,2,2020,"CAN",1
2,2020,3,2020,"PI_SM",1
3,2020,3,2020,"TUV",2
3,2020,5,2020,"LBR",14
3,2020,3,2020,"NK",18
3,2020,3,2020,"MHL",7
3,2020,8,2020,"CS",58
3,2020,4,2020,"MHL",15
3,2020,6,2020,"PI_JS",3
3,2020,6,2020,"NK",4
3,2020,6,2020,"AMSA",1
3,2020,3,2020,"PI_JS",1
3,2020,7,2020,"PI_WE",5
3,2020,9,2020,"NIS",4
3,2020,8,2020,"BLACKSEA",1
3,2020,7,2020,"PI_SK",150
3,2020,4,2020,"PI_SM",4
4,2020,4,2020,"LBR",2
4,2020,6,2020,"PI_AM",14
4,2020,4,2020,"VUT",1
4,2020,5,2020,"MHL",57
4,2020,9,2020,"BV",226
4,2020,10,2020,"BV",39
4,2020,5,2020,"PI_GA",21
4,2020,8,2020,"PI_ST",22
4,2020,4,2020,"PI_WE",2
4,2020,6,2020,"PI_SM",2
4,2020,5,2020,"IR",2
4,2020,8,2020,"PI_GA",106
4,2020,9,2020,"RINA",2
4,2020,4,2020,"BLACKSEA",2
4,2020,8,2020,"TGO",2
4,2020,5,2020,"KNA",5
4,2020,4,2020,"PI_SM",3
4,2020,5,2020,"KP",5
5,2020,9,2020,"BV",321
5,2020,8,2020,"IB",7
5,2020,8,2020,"BV",259
5,2020,8,2020,"MHL",213
5,2020,5,2020,"PI_SK",127
5,2020,8,2020,"NG",31
5,2020,9,2020,"PI_ST",14
5,2020,5,2020,"VUT",2
5,2020,9,2020,"PI_SM",5
5,2020,9,2020,"CS",3144
5,2020,10,2020,"CS",40
5,2020,8,2020,"PLW",8
6,2020,7,2020,"LBR",5
6,2020,9,2020,"RINA",59
6,2020,9,2020,"CS",491
6,2020,9,2020,"NG",15
6,2020,6,2020,"PI_SK",39
6,2020,9,2020,"PI_SK",1226
6,2020,7,2020,"PI_ST",2
6,2020,6,2020,"NB",1
6,2020,9,2020,"PI_SM",21
6,2020,8,2020,"PI_SM",8
6,2020,7,2020,"PI_GA",12
6,2020,6,2020,"RINA",2
7,2020,8,2020,"IR",1
7,2020,8,2020,"IOM",2
7,2020,11,2020,"NK",26
7,2020,8,2020,"PI_AM",7
7,2020,9,2020,"TGO",1
7,2020,7,2020,"BV",16
7,2020,12,2020,"BV",36
7,2020,9,2020,"MLT",3
7,2020,10,2020,"KR",35
7,2020,7,2020,"KR",5
7,2020,7,2020,"PI_SK",15
7,2020,8,2020,"TUR",2
7,2020,7,2020,"TUR",1
7,2020,11,2020,"PI_JS",10
7,2020,8,2020,"CS",84
7,2020,10,2020,"VN",4
7,2020,8,2020,"CYP",10
7,2020,10,2020,"RINA",2
7,2020,11,2020,"UKR",19
8,2020,9,2020,"KI",8
8,2020,10,2020,"LBR",16
8,2020,8,2020,"NK",10
8,2020,12,2020,"PI_SC",4
8,2020,8,2020,"TGO",1
8,2020,10,2020,"TUR",3
8,2020,9,2020,"PI_GA",1
8,2020,8,2020,"PI_WE",5
8,2020,12,2020,"NG",3
8,2020,9,2020,"PH",16
8,2020,12,2020,"PI_SK",82
8,2020,10,2020,"PI_SK",70
8,2020,10,2020,"PI_ST",5
9,2020,11,2020,"CS",252
9,2020,12,2020,"KR",46
9,2020,11,2020,"PI_GA",6
9,2020,11,2020,"NG",28
9,2020,12,2020,"PI_SK",24
9,2020,12,2020,"NK",22
9,2020,12,2020,"PI_ST",12
9,2020,10,2020,"PI_BM",11
9,2020,12,2020,"RINA",9
9,2020,10,2020,"DMA",2
9,2020,11,2020,"MLT",3
